hjd,mag 
7487.10295,13.183
7487.1478,13.199
7488.07849,13.148
7488.12458,13.145
7489.08176,13.137
7489.13724,13.129
7490.0873,13.08
7490.13734,13.105
7491.0965,13.055
7491.14102,13.088
7492.09253,13.018
7492.13718,13.03
7493.08235,12.955
7493.12689,12.971
7494.07316,12.934
7494.11771,12.937
7495.07573,12.891
7495.12663,12.89
7496.06502,12.811
7496.12323,12.83
7497.08206,12.794
7497.12798,12.823
7498.04636,12.746
7498.0917,12.741
7499.07758,12.699
7499.12178,12.697
7500.05841,12.645
7500.10445,12.651
7501.04023,12.557
7501.08534,12.592
7502.05183,12.54
7502.0963,12.541
7503.04666,12.482
7503.09169,12.467
7507.04669,12.273
7507.09771,12.292
7508.05934,12.252
7508.10413,12.289
7509.0504,12.245
7509.10221,12.241
7510.02163,12.232
7510.12756,12.239
7511.03213,12.219
7511.08128,12.229
7512.04037,12.206
7512.08886,12.225
7513.01761,12.209
7513.0656,12.219
7515.01047,12.166
7515.05592,12.178
7516.00614,12.199
7516.0519,12.166
7517.01849,12.166
7517.06203,12.159
7519.03254,12.103
7519.081,12.139
7520.03806,12.165
7520.08342,12.152
7521.03805,12.182
7521.08124,12.176
7523.05509,12.27
7523.13114,12.289
7524.02958,12.324
7524.09299,12.324
7525.01321,12.38
7526.00669,12.439
7526.05074,12.429
7527.0106,12.509
7527.06152,12.491
7527.98566,12.539
7528.03097,12.56
7528.98854,12.577
7529.03655,12.598
7529.97768,12.657
7530.03477,12.653
7531.0132,12.698
7531.06085,12.716
7531.99792,12.759
7532.04509,12.762
7535.0442,12.912
7536.02019,12.955
7536.06865,12.97
7537.98566,13.016
7538.07902,13.028
7539.00362,13.046
7539.0474,13.068
7539.95487,13.086
7540.00333,13.094
7540.98008,13.124
7541.03321,13.14
7541.95593,13.148
7542.00252,13.148
7542.05451,13.136
7542.92991,13.208
7542.97799,13.169
7543.03114,13.193
7543.96361,13.212
7544.01291,13.216
7544.06032,13.22
7544.93126,13.238
7544.98082,13.235
7545.02478,13.261
7545.94542,13.273
7545.99453,13.264
7546.05125,13.274
7546.91657,13.292
7546.96332,13.283
7547.00784,13.284
7547.95604,13.313
7548.00003,13.316
7548.04676,13.328
7548.96229,13.33
7549.00698,13.329
7549.95183,13.355
7550.00649,13.362
7550.05142,13.371
7550.94187,13.371
7550.98709,13.375
7551.03659,13.384
7554.95187,13.477
7554.99926,13.469
7555.0427,13.47
7555.91331,13.468
7555.95676,13.489
7556.00892,13.52
7558.926,13.511
7558.97255,13.527
7559.02042,13.518
7561.92111,13.581
7561.97102,13.573
7562.01983,13.588
7562.87415,13.564
7562.92249,13.595
7562.96794,13.581
7563.90933,13.588
7563.95299,13.6
7564.90608,13.604
7564.94988,13.609
7565.00003,13.609
7567.96271,13.668
7573.84926,13.698
7573.89921,13.714
7573.94657,13.706
7574.8584,13.588
7574.90829,13.717
7574.95348,13.719
7575.89039,13.724
7575.94696,13.708
7576.86169,13.717
7576.90861,13.744
7576.95743,13.731
7577.83774,13.754
7577.88425,13.745
7577.93113,13.725
