hjd,mag
7487.10295,16.425
7487.1478,16.376
7488.07849,16.322
7488.12458,16.443
7489.08176,16.379
7489.13724,16.325
7490.0873,16.297
7490.13734,16.426
7491.0965,16.358
7491.14102,16.436
7492.09253,16.503
7492.13718,16.544
7493.08235,16.507
7493.12689,16.522
7494.07316,16.417
7494.11771,16.347
7495.07573,16.282
7495.12663,16.325
7496.12323,16.827
7497.12798,16.489
7498.04636,16.426
7498.0917,16.37
7499.07758,16.639
7499.12178,16.653
7500.05841,16.41
7500.10445,16.409
7501.08534,16.543
7502.05183,16.675
7502.0963,16.473
7503.04666,16.6
7503.09169,16.389
7507.04669,16.408
7507.09771,16.394
7508.05934,16.41
7508.10413,16.388
7509.0504,16.398
7509.10221,16.279
7510.02163,16.484
7510.12756,16.372
7511.03213,16.471
7511.08128,16.753
7512.04037,16.311
7512.08886,16.473
7513.01761,16.464
7513.0656,16.379
7515.01047,16.406
7515.05592,16.415
7516.00614,16.516
7516.0519,16.358
7517.01849,16.406
7517.06203,16.651
7520.03806,16.675
7520.08342,16.334
7521.03805,16.347
7521.08124,16.332
7523.05509,16.372
7523.13114,16.806
7524.02958,16.352
7524.09299,16.428
7526.00669,16.414
7526.05074,16.445
7527.0106,16.706
7527.06152,16.364
7527.98566,16.508
7528.03097,16.587
7528.98854,16.476
7529.03655,16.391
7529.97768,16.524
7530.03477,16.365
7531.0132,16.419
7531.06085,16.264
7531.99792,16.405
7532.04509,16.307
7535.0442,16.331
7536.02019,16.4
7536.06865,16.533
7537.98566,16.404
7538.07902,16.324
7539.00362,16.248
7539.0474,16.285
7539.95487,16.443
7540.00333,16.311
7540.98008,16.251
7541.03321,16.35
7541.95593,16.169
7542.00252,16.09
7542.05451,16.177
7542.92991,16.185
7542.97799,16.417
7543.03114,16.137
7543.96361,16.239
7544.01291,16.061
7544.06032,16.179
7544.93126,16.026
7544.98082,15.964
7545.02478,16.01
7545.94542,15.942
7545.99453,15.839
7546.05125,15.803
7546.91657,15.815
7546.96332,15.766
7547.00784,15.71
7547.95604,15.682
7548.00003,15.642
7548.04676,15.677
7548.96229,15.652
7549.00698,15.73
7549.95183,15.741
7550.00649,15.714
7550.05142,15.783
7550.94187,15.903
7550.98709,15.829
7551.03659,15.861
7554.95187,16.28
7554.99926,16.205
7555.0427,16.218
7555.91331,16.225
7555.95676,16.232
7556.00892,16.465
7558.926,16.206
7558.97255,16.223
7559.02042,16.369
7561.92111,16.438
7561.97102,16.375
7562.92249,16.404
7562.96794,16.402
7563.90933,16.304
7563.95299,16.375
7564.90608,16.323
7564.94988,16.322
7565.00003,16.321
7567.96271,16.483
7573.84926,16.394
7573.89921,16.434
7573.94657,16.346
7574.8584,16.777
7574.90829,16.58
7574.95348,16.514
7575.89039,16.325
7575.94696,16.339
7576.86169,16.425
7576.90861,16.436
7576.95743,16.5
7577.88425,16.476
7577.93113,16.579
